courseno,classno,title,classification,instructor,credit,hour
36402,1,Public International Law,Major elective,Nu Ri Jung,3,3
37235,1,US China Relations,Major elective,Jean S. Kang,3,3
37792,1,International Studies Internship II,Major elective,Sei Jeong Chin,2,
37793,1,International Studies Internship III,Major elective,Sei Jeong Chin,3,
35700,1,Capstone Design in Int'l Business & Economics,Major elective,Seok Weon Lee,3,3
36787,1,Contemporary Issues in East Asia,Major elective,Sei Jeong Chin,3,3
37556,1,Introduction to Korean Culture,Major elective,Sang ho Ro,3,3
37560,1,Globalization and Korean Migration,Major elective,Sharon Yoon,3,3
37561,1,North Korean Society and Culture,Major elective,Kyong Mi Danyel Kwon,3,3
37567,1,Reading Academic Korean II,Major elective,Jeehye Ha,3,3
37568,1,Advanced Topics in East Asian Religion,Major elective,HYONDO PARK,3,3
37570,1,Korean Studies Seminar,Major elective,Sang ho Ro,3,3
37581,1,Korean Studies Workshop,Major elective,BRIAN D. RIDGEWAY,3,3
37582,1,Special Topics in Korean Studies II,Major elective,Kyong Mi Danyel Kwon,3,3
37583,1,Korean Studies Capstone Design II,Major elective,Hong seungah,3,3
38013,1,Sound Design,Major elective,Woon Seung Yeo,3,3
33820,4,Practical Terms of Fashion and Schematization,Major elective,An Hyosun,3,3
35378,1,Pattern Design,Major elective,KIM  DONG EUN,3,3
33818,2,Dyeing and Development of Fashionable Textile Materials,Major elective,Chang Sang Yun,3,3
35382,1,Fashion Marketing,Major elective,Seahee Lee,3,3
36183,1,Introduction to International Office Administration,Major elective,Park  Yoonhee,3,3
34012,1,Business Writing,Major elective,Jeon  Jihyeon,3,3
34012,2,Business Writing,Major elective,Marc Neufeld,3,3
34012,3,Business Writing,Major elective,Marc Neufeld,3,3
35591,1,Business Communication Clinic,Major elective,Marc Neufeld,3,3
35591,2,Business Communication Clinic,Major elective,Marc Neufeld,3,3
36774,1,English for Business Interaction,Major elective,Ji Yon Lee,3,3
36774,2,English for Business Interaction,Major elective,Ji Yon Lee,3,3
36774,3,English for Business Interaction,Major elective,Ji Yon Lee,3,3
